,Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
60,RPA Developer with UiPath,nanodegree,Build the operational processes that enable the businesses of the future.,beginner,4 Months,2.36,715.0,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestrator",Basic familiarity with Microsoft applications and data manipulation,UiPath,https://www.udacity.com/course/rpa-developer-nanodegree--nd340
61,Privacy Engineer,nanodegree,"Master the skills necessary to become a successful privacy engineer. Learn to create technical solutions and implement privacy principles by integrating Privacy-by-Design into product development, data infrastructure, and software release lifecycles.",intermediate,2 Months,3.89,715.0,"Privacy by Design Framework,  Data Minimization,  Data Encryption,  Sensitive Data Tracking,  Hashing,  Privacy Risk Assessment,  Data Privacy Fundamentals,  Data Anonymization,  k-anonymization,  Data Privacy Regulations,  Tiers of Deletion,  Redaction for Data Minimization,  Regional Privacy Regulations,  Data Lifecycle Management",Python and SQL,none,https://www.udacity.com/course/privacy-engineer-nanodegree--nd325
62,Machine Learning Engineer for Microsoft Azure,nanodegree,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. ",intermediate,3 Months,4.4,200.0,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations
","Prior experience with Python, Machine Learning, and Statistics",Microsoft,https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333
63,Data Science for Business Leaders,nanodegree,"Master the people, platforms, and processes required to leverage the power of Data Science in your business.",intermediate,2 Months,4.4,83.0,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital","Statistics, Probability, and Business Experience",Alteryx,https://www.udacity.com/course/data-science-for-business-leaders--nd045
64,Security Engineer,nanodegree,Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organization’s computer networks and systems from security threats or attacks.,intermediate,4 Months,4.7,57.0,"Cryptography, Risk Evaluation, Authentication, Authorization, Access
Management, Penetration Testing","Basics of Python, experience configuring AWS and Linux environments",none,https://www.udacity.com/course/security-engineer-nanodegree--nd698
65,Site Reliability Engineer,nanodegree,"Learn to build automation tools that ensure designed solutions respond to requirements such as availability, performance, security, and maintainability.",intermediate,4 Months,5.0,715.0,"Cost-Benefit Analysis,  Building SRE Teams,  Observability Best Practices,  Prometheus,  Grafana,  Service Level Indicators,  Terraform,  
Geo-Replication,  Self-Healing System Design,  Microservice Design,  Deployment Rollback,  Deployment Automation,  Cloud Automation,  Deployment Automation,  Incident Post-Mortems,  Incident Management,  Reliability Reviews,  Capacity Management","Python or Java, Bash or Powershell, Linux, UNIX Shell and SQL",none,https://www.udacity.com/course/site-reliability-engineer-nanodegree--nd087
66,Cloud DevOps using Microsoft Azure,nanodegree,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms across the globe.",intermediate,3 Months,4.3,106.0,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring","Intermediate Python, familiarity with Linux shell scripting and cloud concepts",Microsoft,https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082
67,Security Analyst,nanodegree,"Learn to identify, correct, and respond to security weaknesses and incidents through open-ended projects that mimic workplace security challenges.",intermediate,4 Months,4.08,715.0,"Security controls,  Defensible Network Architecture,  security threat mitigation,  threat modeling,  vulnerability assessment,  incident detection and handling","Experience with Python, SQL, and security fundamentals",none,https://www.udacity.com/course/security-analyst-nanodegree--nd324
68,Digital Freelancer,nanodegree,The goal of the Digital Freelancer Nanodegree program is to prepare students to enter the digital marketplace by teaching key skills to create a successful digital business. Students will learn freelancing basics and essential skills as well as how to build their personal brand to start a successful online business in the global freelancing marketplace.,beginner,1 Month,3.23,715.0,"Portfolio Websites,  Professional Networking,  Resumes,  Social Media Presence,  Non-Disclosure Agreements,  Service Agreements,  Freelance Pricing Frameworks,  Invoicing,  Brand Design,  Elevator pitches,  Formal Written Communication,  Project management tools,  Project scoping",Basic computer skills,none,https://www.udacity.com/course/digital-freelancer-nanodegree--nd083
69,Cloud Developer using Microsoft Azure,nanodegree,"Master critical cloud computing skills used to deploy, build, migrate, and monitor applications on Azure.",intermediate,4 Months,4.4,65.0,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration","Intermediate programming experience, familiarity with SQL databases and Git",Microsoft,https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081
